Date,TSLA,UpperBand,MiddleBand,LowerBand,AAPL,SMA_AAPL,SMA_TSLA
2020-01-17,102.0999984741211,109.42100564343505,85.18839925130209,60.95579285916912,78.63079833984375,71.67270431518554,85.18839925130209
2020-01-21,109.44000244140625,111.30304159492302,86.63393274943034,61.96482390393767,78.09793090820312,72.09201253255209,86.63393274943034
2020-01-22,113.91200256347656,113.63970476667293,88.19173278808594,62.74376080949896,78.376708984375,72.47842814127604,88.19173278808594
2020-01-23,114.44000244140625,115.72305041640868,89.74286626180013,63.76268210719158,78.75415802001953,72.9085912068685,89.74286626180013
2020-01-24,112.96399688720703,117.36237848546267,91.18273289998372,65.00308731450477,78.52718353271484,73.31836064656575,91.18273289998372
2020-01-27,111.60399627685547,118.56435277955191,92.55153274536133,66.53871271117075,76.21807098388672,73.63232752482097,92.55153274536133
2020-01-28,113.37999725341797,119.82140650610238,93.93299942016601,68.04459233422965,78.3742446899414,74.01249287923177,93.93299942016601
2020-01-29,116.197998046875,121.13586324885037,95.41699930826823,69.69813536768609,80.01480865478516,74.41699981689453,95.41699930826823
2020-01-30,128.16200256347656,124.41737808069023,97.14573262532552,69.87408716996082,79.89884948730469,74.77890981038412,97.14573262532552
2020-01-31,130.11399841308594,127.50075672358076,98.95626602172851,70.41177531987626,76.35623168945312,75.01820907592773,98.95626602172851
2020-02-03,156.0,135.696067744559,101.53526611328125,67.37446448200349,76.14653015136719,75.25602849324544,101.53526611328125
2020-02-04,177.41200256347656,147.60207893961336,104.75539957682291,61.908720214032456,78.66041564941406,75.57534103393554,104.75539957682291
2020-02-05,146.94000244140625,151.43943609342486,106.94946645100912,62.459496808593364,79.30183410644531,75.92080357869466,106.94946645100912
2020-02-06,149.79200744628906,155.33839613909453,109.14773330688476,62.957070474674985,80.22943115234375,76.25968805948894,109.14773330688476
2020-02-07,149.61399841308594,158.79681051110944,111.2998664855957,63.80292246008195,79.13890075683594,76.56000086466472,111.2998664855957
2020-02-10,154.25599670410156,162.53120616026942,113.56879959106445,64.60639302185947,79.51476287841797,76.82646280924479,113.56879959106445
2020-02-11,154.87600708007812,165.89216320742503,115.8621332804362,65.83210335344735,79.0350341796875,77.07783864339193,115.8621332804362
2020-02-12,153.45799255371094,168.46058740575572,118.21273295084636,67.964878495937,80.91193389892578,77.37763341267903,118.21273295084636
2020-02-13,160.8000030517578,171.58836566256497,120.78386637369792,69.97936708483087,80.33576202392578,77.64070663452148,120.78386637369792
2020-02-14,160.00599670410156,174.2496469355567,123.2489995320638,72.2483521285709,80.35553741455078,77.8493423461914,123.2489995320638
2020-02-18,171.67999267578125,178.20137505276244,126.01826604207356,73.83515703138468,78.88419342041016,78.03294576009115,126.01826604207356
2020-02-19,183.48399353027344,183.4819236795299,129.1241325378418,74.7663413961537,80.02664947509766,78.23514175415039,129.1241325378418
2020-02-20,179.8820037841797,187.66269430420766,131.9931327819824,76.32357125975716,79.20565795898438,78.42156600952148,131.9931327819824
2020-02-21,180.1999969482422,191.54332744486388,134.71886596679687,77.89440448872986,77.41282653808594,78.50875752766927,134.71886596679687
2020-02-24,166.75799560546875,193.16375426546068,137.06853256225585,80.97331085905103,73.73568725585938,78.42041956583658,137.06853256225585
2020-02-25,159.98199462890625,193.7050534573246,139.2135991414388,84.72214482555303,71.23809814453125,78.24307250976562,139.2135991414388
2020-02-26,155.75999450683594,194.1796710700596,140.90653228759766,87.6333935051357,72.36820983886719,78.04887466430664,140.90653228759766
2020-02-27,135.8000030517578,193.7114430169316,141.8470657348633,89.98268845279497,67.63762664794922,77.73218663533528,141.8470657348633
2020-02-28,133.59800720214844,192.85353706743211,142.84366607666016,92.8337950858882,67.59806823730469,77.42519912719726,142.84366607666016
2020-03-02,148.7239990234375,192.14074505044726,144.37786610921225,96.61498716797723,73.8914794921875,77.2959208170573,144.37786610921225
2020-03-03,149.1020050048828,191.0680662995244,145.94459966023763,100.82113302095085,71.54474639892578,77.05971908569336,145.94459966023763
2020-03-04,149.89999389648438,190.34276748211585,147.29326604207355,104.24376460203126,74.86331939697266,76.95189870198568,147.29326604207355
2020-03-05,144.9080047607422,189.57175264195416,148.32646611531575,107.08117958867734,72.43497467041016,76.75384089152018,148.32646611531575
2020-03-06,140.6959991455078,188.60683455884075,149.20166600545247,109.79649745206419,71.47303009033203,76.51113662719726,149.20166600545247
2020-03-09,121.5999984741211,187.94635212088173,149.4895327250163,111.03271332915084,65.82007598876953,76.08756637573242,149.4895327250163
2020-03-10,129.0659942626953,186.70236087985472,150.07159932454428,113.44083776923384,70.56053924560547,75.89898198445638,150.07159932454428
2020-03-11,126.84600067138672,185.64065122152132,150.52046610514324,115.40028098876516,68.10994720458984,75.55683873494466,150.52046610514324
2020-03-12,112.11000061035156,186.06328865289345,150.3841995239258,114.70511039495813,61.38376998901367,74.93580411275228,150.3841995239258
2020-03-13,109.3239974975586,187.57648221403787,149.75626602172852,111.93604982941916,68.7380599975586,74.5637777964274,149.75626602172852
2020-03-16,89.01399993896484,191.55301695408662,148.38626607259116,105.2195151910957,59.89510726928711,74.01507364908854,148.38626607259116
2020-03-17,86.04000091552734,194.5533437321054,146.05426610310872,97.55518847411204,62.52870178222656,73.56114603678385,146.05426610310872
2020-03-18,72.24400329589844,196.38443404633634,142.54866612752278,88.71289820870922,60.99800109863281,72.97239888509115,142.54866612752278
2020-03-19,85.52799987792969,198.05566946821597,140.5015993754069,82.94752928259783,60.5306282043457,72.34669202168783,140.5015993754069
2020-03-20,85.50599670410156,199.0700499560309,138.3587323506673,77.6474147453037,56.687808990478516,71.56197128295898,138.3587323506673
2020-03-23,86.85800170898438,199.5528281257978,136.26686579386393,72.98090346193007,55.48352813720703,70.7734588623047,136.26686579386393
2020-03-24,101.0,198.64143926223636,134.4916659037272,70.34189254521806,61.049930572509766,70.15796445210775,134.4916659037272
2020-03-25,107.8499984741211,197.30269278657482,132.92413228352865,68.54557178048248,60.713626861572266,69.54725087483725,132.92413228352865
2020-03-26,105.63200378417969,195.96374174710445,131.3299326578776,66.69612356865076,63.9085578918457,68.98047167460123,131.3299326578776
2020-03-27,102.87200164794922,193.85672005363136,129.39899927775065,64.94127850186992,61.26259994506836,68.34469960530599,129.39899927775065
2020-03-30,100.4260025024414,191.64726203224745,127.41299947102864,63.17873690980983,63.01090621948242,67.76654523213705,127.41299947102864
2020-03-31,104.80000305175781,187.73816198252592,125.1836664835612,62.62917098459646,62.882320404052734,67.23314946492513,125.1836664835612
2020-04-01,96.31199645996094,181.7526712246817,122.27793324788412,62.803195271086544,59.57363510131836,66.55138231913249,122.27793324788412
2020-04-02,90.89399719238281,175.80012388844818,119.31166636149088,62.82320883453358,60.567726135253906,65.93011792500813,119.31166636149088
