IndustrYDescription,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
Government,1683.5,1700.2,1719.0,1738.4,1758.9,1778.7,1803.3,1827.0,1854.5,1873.9,1898.2,1921.7,1948.2,1968.6,1993.9,2015.8,2019.8,2040.2,2051.8,2068.4,2086.8,2110.8,2113.8,2120.4,2129.3,2140.5,2142.4,2135.9,2148.7,2151.0,2161.0,2177.2,2194.4,2207.5,2215.1,2233.1,2247.4,2260.7,2278.6,2298.7,2318.0,2334.4,2348.2,2357.2,2365.6,2377.2,2392.4,2404.4,2420.7,2435.5,2457.1,2481.7,2509.1,2536.4,2566.3,2586.9,2606.4,2626.0,2653.1,2672.3,2682.2,2594.6,2653.6,2652.3,2675.2
Government enterprises,76.94999999999999,77.1,77.44999999999999,78.2,80.15,80.15,79.94999999999999,79.85,79.44999999999999,79.95,80.6,80.25,80.15,79.9,80.25,80.55,80.25,80.75,81.15,80.9,81.0,80.9,80.95,80.9,81.1,81.8,82.35,83.2,84.35,84.95,85.45,85.85,86.55,86.3,86.45,87.0,89.19999999999999,90.65,92.4,94.55000000000001,97.25,99.0,100.1,100.6,100.75,100.0,100.5,101.2,102.15,103.1,104.19999999999999,105.35,106.85,107.85,108.7,109.3,110.05,110.7,111.5,112.6,111.65,95.1,108.4,110.2,110.75
Health care and social assistance,822.1,830.3,843.3,853.3,877.2,889.8,895.4,907.8,914.7,925.9,943.0,962.0,986.3,1005.1,1025.4,1051.2,1062.7,1075.7,1082.4,1095.9,1091.5,1106.6,1120.6,1128.5,1131.3,1145.2,1154.4,1163.7,1184.2,1186.8,1194.1,1208.8,1222.3,1224.9,1231.7,1240.0,1241.5,1254.1,1276.7,1291.1,1311.7,1328.4,1349.0,1361.2,1383.0,1401.4,1408.5,1430.5,1441.7,1452.0,1463.3,1477.9,1501.7,1516.7,1527.3,1548.4,1569.7,1585.6,1603.8,1623.1,1605.8,1374.9,1594.7,1630.3,1640.2
Hospitals,270.8,272.4,276.5,280.2,288.0,293.5,296.4,301.2,303.4,307.1,313.3,319.3,329.5,335.7,341.9,352.6,360.4,366.1,367.4,376.4,362.8,369.1,373.5,374.0,376.8,381.8,382.9,386.7,392.0,396.7,401.1,402.5,405.2,404.7,406.6,406.3,407.8,411.9,419.1,425.7,434.8,440.7,446.8,452.5,456.1,458.6,461.4,467.4,470.9,473.2,476.2,481.4,487.9,493.0,495.1,502.0,506.6,512.1,516.9,522.6,513.9,474.6,519.8,525.0,528.9
Housing,1184.8,1203.7,1222.0,1241.1,1263.6,1285.4,1303.9,1315.9,1324.5,1332.4,1343.0,1363.9,1383.9,1404.8,1421.3,1436.6,1442.9,1444.8,1450.7,1449.8,1448.0,1449.5,1450.8,1460.4,1479.6,1494.9,1504.8,1514.7,1522.4,1528.8,1534.9,1538.2,1546.7,1553.0,1570.7,1589.4,1608.1,1626.3,1648.9,1672.2,1702.5,1731.7,1760.0,1781.8,1797.9,1817.9,1835.2,1857.8,1886.9,1907.7,1921.5,1941.0,1961.8,1982.9,2011.0,2033.1,2057.2,2081.4,2104.4,2122.9,2141.6,2153.1,2166.1,2178.7,2195.7
Information,641.9,649.6,638.8,639.0,633.8,652.1,664.7,657.3,673.7,695.3,720.5,738.2,733.7,754.3,756.9,726.9,719.2,714.2,715.3,739.0,734.2,744.1,766.9,767.9,758.1,765.5,755.8,760.0,755.4,768.2,760.1,752.1,812.1,820.8,830.2,852.6,833.6,840.7,845.4,850.0,877.7,897.2,917.5,935.4,957.3,961.2,974.4,980.7,988.7,996.6,1010.8,1025.6,1029.2,1062.1,1072.1,1075.8,1094.7,1122.3,1137.0,1156.1,1156.8,1115.7,1175.2,1198.1,1227.2
Insurance carriers and related activities,339.6,344.1,352.0,357.9,363.5,365.3,375.6,385.7,409.3,414.9,408.4,390.3,361.4,344.4,341.6,349.3,349.0,365.3,373.9,375.3,370.1,370.7,374.1,376.3,383.1,382.5,383.7,388.0,410.3,404.5,407.0,400.1,374.1,370.9,381.5,410.5,442.5,481.8,502.3,518.6,544.9,569.6,552.5,549.3,547.8,565.6,581.3,588.9,562.7,554.7,560.0,565.1,593.6,603.6,614.4,600.4,598.7,613.0,616.0,632.4,622.5,634.9,656.9,667.8,650.9
Legal services,192.7,193.8,196.1,198.1,200.6,204.1,205.2,208.4,212.4,210.9,218.4,228.1,235.4,244.9,244.7,237.4,224.0,213.9,208.5,202.3,201.7,201.7,205.8,208.5,210.3,215.8,216.7,219.1,219.1,217.1,212.7,217.8,215.3,216.3,220.2,223.6,217.2,222.5,232.0,230.2,234.0,237.0,242.0,241.4,249.3,250.9,251.4,255.4,254.8,256.8,257.9,262.4,265.6,272.8,273.3,273.0,274.9,275.2,282.7,285.0,286.2,272.4,280.1,291.1,304.0
Machinery,112.5,112.3,115.4,117.4,120.2,121.5,121.4,124.4,124.9,129.7,132.6,131.0,130.5,130.7,132.6,132.7,123.9,117.2,114.8,118.5,118.5,125.8,130.3,134.2,139.6,142.2,145.0,151.2,152.9,153.5,152.5,150.9,155.6,156.6,158.6,161.8,156.6,162.0,164.5,160.4,158.2,152.7,151.0,148.0,145.6,143.7,142.7,142.6,146.2,149.5,154.4,156.3,160.3,159.5,160.4,160.5,162.9,162.5,162.5,162.5,160.4,144.0,156.1,158.7,161.6
Management of companies and enterprises,209.4,211.4,216.9,218.8,226.2,229.7,229.8,236.2,248.4,249.1,251.9,255.2,252.5,255.4,258.9,258.9,236.9,243.3,248.9,251.0,257.7,261.6,266.8,275.4,278.1,278.5,276.5,278.7,291.9,293.5,302.8,320.5,313.9,319.6,321.1,324.2,333.3,327.7,331.0,339.5,346.8,348.3,347.8,349.0,347.8,349.4,351.2,355.2,361.5,367.3,373.8,387.6,385.9,387.2,397.9,398.2,408.9,412.2,410.8,413.6,412.2,397.6,402.9,407.8,421.7
Manufacturing,1673.0,1667.8,1703.1,1729.9,1780.3,1797.6,1793.6,1803.8,1798.4,1853.3,1861.1,1866.2,1801.9,1818.2,1828.7,1754.5,1689.5,1674.1,1699.0,1745.9,1754.1,1783.2,1814.1,1836.6,1835.7,1864.3,1869.4,1900.8,1915.1,1930.0,1937.8,1925.3,1977.9,1964.3,1989.5,2036.0,1994.2,2036.7,2085.5,2084.5,2116.4,2133.0,2153.0,2116.0,2097.4,2101.7,2099.1,2100.8,2136.1,2154.2,2190.8,2248.3,2278.4,2306.8,2320.4,2351.9,2323.9,2340.7,2348.7,2370.1,2346.3,2053.7,2329.1,2347.7,2444.0
"Mining, except oil and gas",39.8,42.1,44.1,45.5,49.3,51.6,52.3,54.1,54.1,59.5,61.4,56.8,58.0,61.2,63.6,62.3,63.9,57.9,61.4,63.1,64.4,68.4,70.6,74.6,75.6,77.8,76.9,75.2,70.4,66.8,64.1,65.3,63.0,60.1,63.3,62.1,59.6,60.6,59.4,55.4,53.1,50.8,48.7,47.4,45.4,46.3,48.1,49.7,53.1,56.6,56.8,58.9,59.4,60.7,58.1,59.6,59.8,61.4,61.2,60.9,59.8,53.2,56.5,57.5,60.5
Motion picture and sound recording industries,67.0,62.4,61.5,61.5,64.1,66.3,68.4,71.4,70.5,75.7,79.4,80.3,77.5,80.5,80.7,80.3,81.6,81.2,82.1,84.2,89.3,90.7,92.5,91.9,84.3,85.8,85.1,84.0,83.2,81.9,80.5,84.1,80.8,82.4,85.1,82.9,82.4,82.7,82.2,81.5,85.7,87.4,88.3,89.0,95.0,91.8,94.0,94.0,96.8,94.3,92.9,90.5,86.0,85.2,82.6,82.6,84.2,88.3,88.9,90.0,85.0,56.4,65.6,71.7,73.5
"Motor vehicles, bodies and trailers, and parts",136.9,135.8,136.3,134.9,136.1,137.0,128.6,134.5,130.5,126.7,124.9,117.7,106.6,97.6,85.2,71.8,50.2,44.3,45.0,51.8,67.6,84.8,99.5,102.9,105.4,99.9,100.4,111.2,110.7,117.2,115.4,117.9,118.6,121.5,123.6,127.3,126.3,130.4,136.3,137.1,139.6,146.1,150.4,148.9,153.9,154.4,155.7,157.0,157.1,158.0,157.0,158.8,157.6,157.2,160.9,161.1,162.6,163.9,164.8,164.7,155.9,95.3,191.0,184.7,182.8
National defense,295.4,299.0,303.0,307.4,309.8,312.5,317.2,320.8,323.9,328.1,333.8,338.7,343.1,349.4,356.2,361.7,364.5,369.0,375.1,382.2,388.1,392.2,394.8,398.8,403.4,406.2,408.8,410.1,408.4,408.0,407.8,406.2,402.1,401.3,395.2,401.8,400.5,400.3,399.8,399.6,398.8,397.7,398.5,398.5,397.8,399.1,400.2,401.1,402.1,402.6,405.0,408.3,412.6,417.0,421.6,424.8,428.6,431.4,434.9,438.7,440.6,446.1,448.6,452.7,459.3
Nondefense,184.5,186.3,187.7,190.0,191.9,193.9,195.9,197.5,201.1,203.5,206.0,208.0,212.0,214.8,217.7,221.3,224.6,231.3,231.3,234.0,239.5,249.6,248.0,248.9,251.8,253.0,252.9,252.8,255.1,255.8,256.4,257.0,257.4,257.4,258.5,259.9,263.6,265.5,268.2,269.9,272.6,274.4,276.2,278.1,280.7,283.7,286.6,289.2,292.0,294.1,296.9,300.2,303.7,306.6,309.3,311.5,314.5,316.3,319.4,320.7,323.4,326.0,334.9,332.8,333.5
Oil and gas extraction,133.5,143.7,160.6,186.3,181.2,179.5,180.7,174.2,180.6,205.7,206.0,231.1,245.4,307.0,305.6,228.1,173.7,164.7,167.5,185.6,201.5,182.2,179.5,192.1,203.7,224.1,216.8,227.8,230.3,216.6,217.6,230.5,239.9,253.6,267.9,259.0,278.0,294.2,289.5,251.4,171.7,172.1,153.4,135.7,116.5,135.4,144.1,158.2,169.9,167.2,168.9,192.6,201.5,212.7,226.2,218.8,198.1,199.5,186.0,188.8,138.8,49.7,95.6,119.4,165.6
Petroleum and coal products,134.6,132.0,148.7,149.4,144.0,145.5,141.8,128.7,136.5,162.0,147.5,172.0,168.4,164.3,168.9,116.6,97.2,97.8,116.7,131.2,123.7,117.9,119.5,132.7,144.5,164.0,169.6,154.3,166.5,157.3,155.2,152.8,158.9,135.0,142.3,166.0,154.3,159.9,162.9,153.7,150.5,159.4,152.5,119.1,87.0,84.9,81.5,86.7,110.0,118.9,132.7,160.4,169.0,179.7,183.9,195.3,154.7,161.8,154.1,161.7,155.1,55.3,110.7,114.5,169.3
