Date,AAPL,TSLA,SMA_AAPL,SMA_TSLA
2019-04-30,48.981727600097656,47.737998962402344,48.12122815450032,53.6059331258138
2019-05-01,51.38602828979492,46.801998138427734,48.316419474283855,53.38286641438802
2019-05-02,51.05161666870117,48.81999969482422,48.48720156351725,53.18619969685872
2019-05-03,51.686256408691406,51.00600051879883,48.6227533976237,53.05959968566894
2019-05-06,50.888084411621094,51.06800079345703,48.76457036336263,52.9983331044515
2019-05-07,49.51628875732422,49.4119987487793,48.87945607503255,52.9092664082845
2019-05-08,49.52604675292969,48.96799850463867,49.010532760620116,52.756399663289386
2019-05-09,48.99393081665039,48.395999908447266,49.11020304361979,52.53739967346191
2019-05-10,48.31520462036133,47.90399932861328,49.185215123494466,52.276733016967775
2019-05-13,45.507144927978516,45.402000427246094,49.15661748250326,51.92439969380697
